DEPTH,GR,RT,NPHI,RHOB,LITHOLOGY,VSHALE,POROSITY,SW,NET_PAY,HCPV
1000.0,46.52290674503852,21.087229698912793,0.30453232761624666,2.0058484289335765,SANDSTONE_POROUS,0.08153633431298149,0.3474636095858274,0.17837065951986447,0.5,0.14274314819242534
1000.5,48.16546224836714,16.546968710672225,0.28401469993620676,1.9818249689293566,SANDSTONE_POROUS,0.10206827810458927,0.34448463211072256,0.20310164191505586,0.5,0.13725961885726543
1001.0,49.24254314545144,22.64397293589311,0.33392775725080875,1.9779805857513295,SANDSTONE_POROUS,0.11553178931814304,0.3706061253674257,0.16138144612345506,0.5,0.15539858645671004
1001.5,36.402167727688365,18.701682918511164,0.3231806831685579,1.972569886360915,SANDSTONE_POROUS,0.0,0.36687219420218353,0.17938551326986693,0.5,0.15053031867039127
1002.0,36.54147938366419,17.862365999100977,0.3473710415031161,2.0379711897523944,SANDSTONE_POROUS,0.0,0.35914879658416576,0.18749884723534807,0.5,0.1459044056193361
1002.5,38.53854478926656,21.222009030563605,0.27143335152791276,2.0273354955749068,SANDSTONE_POROUS,0.0,0.32440288922610583,0.19044279576021128,0.5,0.13131134802459807
1003.0,37.10426549672902,18.17330753362777,0.28245535307287006,2.019154217864524,SANDSTONE_POROUS,0.0,0.3323930650623368,0.20085080063268992,0.5,0.13281582590990634
1003.5,40.31696283666093,21.965803466262997,0.2962340405247624,1.8467453006180425,SANDSTONE_POROUS,0.003962035458261593,0.3915275352266107,0.1550981623800036,0.5,0.16540116699589563
1004.0,41.98674513618218,18.16817072715878,0.29382725194491444,2.073891153375143,SANDSTONE_POROUS,0.02483431420227724,0.321492064343626,0.20769050912245487,0.5,0.12736060691063464
1004.5,36.25604243175872,19.31979527038029,0.29708670560252753,2.0375947206445724,SANDSTONE_POROUS,0.0,0.33412071018169637,0.19379289638343308,0.5,0.1346852450069479
1005.0,32.996741699187396,18.158531398917543,0.2891418128666384,2.0351728805553537,SANDSTONE_POROUS,0.0,0.3308821547498787,0.20185002312650724,0.5,0.13204679208073355
1005.5,32.42263809357735,21.989959519577134,0.27742820904566273,2.0259158202197494,SANDSTONE_POROUS,0.0,0.3278305226380588,0.18513175085284916,0.5,0.13356934199953518
1006.0,33.51859232742689,16.483190156627703,0.3320492455714359,2.0175856110228505,SANDSTONE_POROUS,0.0,0.3576653467181875,0.19599500822968194,0.5,0.14378236207234216
1006.5,44.37450582713721,17.478794929634027,0.32989529269153045,1.9692446294769468,SANDSTONE_POROUS,0.05468132283921516,0.3712371525648722,0.1833729758747762,0.5,0.15158114557188665
1007.0,38.788837069831885,22.160981289296014,0.3191089508901651,1.996017902105977,SANDSTONE_POROUS,0.0,0.35773086874630167,0.1690019044762173,0.5,0.14863683531912247
1007.5,32.59723303706877,20.90356982854792,0.271048036353015,1.9754130246017283,SANDSTONE_POROUS,0.0,0.33994431375174133,0.18311524338472474,0.5,0.138847664000919
1008.0,46.99059415105722,18.76808429919464,0.3138785698870136,1.9994374351782171,SANDSTONE_POROUS,0.08738242688821529,0.35407945610162284,0.1855375456186463,0.5,0.14419221143127126
1008.5,38.77038007581445,18.27809638675963,0.2933300714620023,1.9402152234998131,SANDSTONE_POROUS,0.0,0.36175133164014867,0.18402078939935,0.5,0.14759078301273124
1009.0,35.177802248354865,19.584655569741866,0.30778026333064007,2.01080674746949,SANDSTONE_POROUS,0.0,0.3475850566745655,0.1850220307420674,0.5,0.1416370818165204
1009.5,37.71177209862537,22.77791686508099,0.2998911302027613,1.9218441512315274,SANDSTONE_POROUS,0.0,0.3705988526069784,0.1609094080945894,0.5,0.15548300529672776
1010.0,40.054319218378104,18.561117184548134,0.273793392656223,1.9641234721634855,SANDSTONE_POROUS,0.0006789902297263062,0.34473806839978255,0.19162457701337388,0.5,0.13933889093113333
1010.5,44.13578357576496,17.61516064802088,0.3185585932735213,2.1085768064756865,SANDSTONE_POROUS,0.05169729469706201,0.3233469310380678,0.20971546706641886,0.5,0.12776803918546314
1011.0,37.426290914187135,21.816513702330003,0.3340071537132224,2.002855798577777,SANDSTONE_POROUS,0.0,0.3631078803178909,0.16780857891880693,0.5,0.1510876314637627
1011.5,40.74174106007431,19.226937599734505,0.2943163502597343,2.049322093866857,SANDSTONE_POROUS,0.009271763250928888,0.32918178304900136,0.1971749129311458,0.5,0.13213769681889762
1012.0,38.86953809308777,19.485930049255753,0.3042521496246919,1.9743129736343699,SANDSTONE_POROUS,0.0,0.35687971916556716,0.1806591952667679,0.5,0.14620305814704285
1012.5,46.74969293802299,20.817861852816748,0.3067932227760068,1.9581146846933186,SANDSTONE_POROUS,0.08437116172528736,0.3630588281476038,0.1718096079347145,0.5,0.15034091661316357
1013.0,47.25652287783968,17.352094432976735,0.32363333812737477,1.9545095770491168,SANDSTONE_POROUS,0.09070653597299598,0.3725713426851671,0.18338217157438477,0.5,0.15212420039858845
1013.5,42.617971766388955,18.703796945297942,0.2867751246353914,2.027277879266626,SANDSTONE_POROUS,0.03272464707986193,0.33209123526720297,0.19816192220407483,0.5,0.1331416988697642
