WELL,DEPTH,GR,RT,NPHI,RHOB,LITHOLOGY,HYDROCARBON,VSHALE_GR,PHID,PHIN,PHIA,SW_ARCHIE,PERM_TIMUR,NET_PAY
Well_0,1500,64.51938226253718,474.7844888241285,0.23506837522075247,2.508982628825283,SANDSTONE,1,0.3064922782817147,0.08546507343922237,0.23506837522075247,0.16026672432998743,0.1,0.1,1
Well_0,1505,63.95682260860095,464.5792442086721,0.25154698417653965,2.6271090421183443,SANDSTONE,1,0.2994602826075119,0.013873307807064018,0.25154698417653965,0.13271014599180184,0.11055183904049361,0.1,1
Well_0,1510,69.82823726040967,445.37585776207936,0.2942745299065172,2.3812592953599476,SANDSTONE,1,0.37285296575512084,0.16287315432730443,0.2942745299065172,0.2285738421169108,0.1,0.1,1
Well_0,1515,72.05184545783656,422.80649469219867,0.22975260107646864,2.494675686227159,SANDSTONE,1,0.40064806822295707,0.09413594774111567,0.22975260107646864,0.16194427440879217,0.1,0.1,0
Well_0,1520,77.34787530774311,95.98425530536525,0.26612873407177434,2.454838491710486,SHALE,0,0.4668484413467889,0.1182797019936447,0.26612873407177434,0.1922042180327095,0.16793340192922498,0.1,0
Well_0,1525,55.17798960411473,453.03504187486925,0.25577901941462794,2.5634965654551425,LIMESTONE,1,0.1897248700514341,0.052426323966580264,0.25577901941462794,0.1541026716906041,0.1,0.1,1
Well_0,1530,73.39939240347361,426.96883331171387,0.2793207016252654,2.448120204924324,SANDSTONE,1,0.41749240504342017,0.12235139095495509,0.2793207016252654,0.20083604629011026,0.1,0.1,0
Well_0,1535,63.193989504729416,485.5345325661074,0.3005281682183001,2.5534291968869254,SANDSTONE,1,0.2899248688091177,0.058527759462469416,0.3005281682183001,0.17952796384038475,0.1,0.1,1
Well_0,1540,61.57103427556262,462.4970406986171,0.27953608548552844,2.556970397527418,SANDSTONE,1,0.2696379284445327,0.05638157725611035,0.27953608548552844,0.1679588313708194,0.1,0.1,1
Well_0,1545,65.17146712933611,465.3213595523086,0.2364081333232407,2.3832302574311757,SANDSTONE,1,0.31464333911670134,0.16167863185989348,0.2364081333232407,0.1990433825915671,0.1,0.1,1
Well_0,1550,78.08846773173099,101.62365944618132,0.26743787889601156,2.559209419188991,SHALE,0,0.47610584664663735,0.05502459443091441,0.26743787889601156,0.16123123666346298,0.1945599294255823,0.1,0
